"Count","File"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v2.3\2025_12_16_172636_create_contract_doc_table.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Cloud\CloudFileController.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Module\CrudEventController.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Module\CrudFieldController.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\CommonController.php"
"26","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\CustomEnum\OddsEnum.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\System\RolesService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\UniApi\Module\ModuleController.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_user_assess_table.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.5\2024_02_19_165149_create_system_crud_approve_process_table.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Module\CrudController.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_assess_table.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Chat\ChatApplicationsService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\InvoiceService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\FollowUpService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Company\CompanyService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\ContractService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_approve_process_table.php"
"24","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.5\2024_02_28_100607_create_system_crud_event_table.php"
"24","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v2.1\2025_09_17_150617_create_work_member_table.php"
"23","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.4\2023_11_27_100851_create_customer_table.php"
"23","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Notepad\NotepadCateService.php"
"23","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Attendance\AttendanceRemindService.php"
"23","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\LeadService.php"
"23","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Frame\FrameService.php"
"22","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v2.0\2025_02_27_173418_create_chat_applications_table.php"
"22","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\ProgramEnum\DynamicEnum.php"
"22","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Notice\NoticeRecordService.php"
"22","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\User\UserMemorialCategoryService.php"
"21","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Finance\BillCategoryService.php"
"21","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\System\RoleController.php"
"21","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v2.2\2025_12_01_101127_create_work_mass_messaging_table.php"
"21","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Dao\WorkExternalContact\WorkMassMessagingDao.php"
"21","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Approve\ApproveAssistService.php"
"21","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_assess_scheme_table.php"
